seller_id,orders_6m,active_days_6m,revenue_6m,avg_review_6m,is_risk,risk_stage
14a08204d03bb6b6bde8029f801ae0eb,28,28,2185.4,3.8157894736842106,False,normal
14d7985702e72162bbf13b6beb74ab2b,7,7,516.0,4.428571428571429,False,normal
14ee35374a7876217954b5fa08e50463,6,6,809.0,4.333333333333333,False,normal
14f2b3587172b9db894c9bad8dab520b,2,2,244.0,2.5,False,normal
152ee17e4c8aaf53dac99f3462e4999b,6,6,308.96000000000004,4.333333333333333,False,normal
154bdf805377afea75a3bd158e9eab10,1,1,89.9,1.0,True,almost_churn
1554a68530182680ad5c8b042c3ab563,31,31,2571.54,4.222222222222222,False,normal
157c3e4b42f81ac4a44e8b1ca2fe9876,13,13,1272.0,4.285714285714286,False,normal
1588ac4010787100dddef64568f0ae35,3,3,599.97,3.0,False,normal
15aac934c58d886785ac1b17953ea898,22,22,3734.0,4.043478260869565,False,normal
15ac3c501e2599e4917316fde5c5669a,1,1,144.2,1.0,True,almost_churn
15aec03fe4cf30dfa574cf550f5ff5ff,1,1,28.9,1.0,True,almost_churn
15b3b1b81484422eb41df68ac87f1f50,2,2,78.35,1.0,True,low_active
15cd6eefe58588619aaed41dfa6621b1,7,7,522.1,4.666666666666667,False,normal
15ead3a5037a918ddb520dfe39a3d2b9,7,7,275.5,4.375,False,normal
15fa791d5e017f66402dc28c44480657,8,8,1802.0,4.25,False,normal
160851d3ece7aa1a510f8d1a4bb8a8af,2,2,102.05,5.0,True,low_active
16090f2ca825584b5a147ab24aa30c86,32,32,4259.85,4.03125,False,normal
160e4f13fd3a64b1b86807be88b5ffb0,4,4,886.0,4.25,False,normal
164a5a8794e6d42e14f55e447b12a3bc,1,1,73.99,5.0,True,almost_churn
165b1235e9e9942cb5fae67103576fb0,11,11,2085.15,4.3125,False,normal
165fc07beebdcb6190fba8a06db2a449,41,41,15495.3,3.6923076923076925,False,normal
1660ad786c27fd935378b6192a90b417,6,6,740.0,5.0,False,normal
166e8f1381e09651983c38b1f6f91c11,2,2,78.8,5.0,True,low_active
167fd940acebc789debd6eb418c46e38,4,4,777.68,2.5,False,normal
1690cada046eb7e92c12f98b1f8a8167,11,11,1959.0,4.545454545454546,False,normal
16bdc8cefd0e32a6f0824d296c5ad14a,1,1,41.76,5.0,True,almost_churn
1703bc09972dab9782e7a9194943b69f,1,1,249.9,5.0,False,normal
1710c3aaa9c6b44ec3883ee0fe300e21,2,2,1188.9,5.0,False,normal
17306570e772e7718c92a562d33f5f1d,11,11,4584.6,4.214285714285714,False,normal
173d56ffbd4c56cb80fc3615487d712b,2,2,358.0,5.0,False,normal
1746c1ae87ac63d530c7c943d0ac42e2,1,1,229.9,5.0,False,normal
1771297ac436903d1dd6b0e9279aa505,15,15,2293.2400000000002,4.6,False,normal
1782ce2db72c3dda627d5e7c898104e1,3,3,653.8,4.5,False,normal
17908cf9b444ee34047cadd5c0f4a516,7,7,1514.99,4.428571428571429,False,normal
17998cf586426bf0f2c3726cb0a4b211,2,2,69.8,4.0,True,low_active
179d859f51292aac5c10806a356f7af9,18,18,404.46999999999997,4.315789473684211,False,normal
17a053fcb14bd219540cbde0df490be0,34,34,11125.26,4.170731707317073,False,normal
17adeba047385fb0c67d8e90b4296d21,1,1,809.6999999999999,1.0,False,normal
17ca9b9e9b9ef8fdb529001b49ebb50f,40,40,3303.56,3.9375,False,normal
17e34d8224d27a541263c4c64b11a56b,87,87,18376.920000000002,4.2444444444444445,False,normal
17eea220a40cc0d2c0c5346379682398,4,4,1414.98,3.75,False,normal
17f51e7198701186712e53a39c564617,23,23,19480.0,4.64,False,normal
180c3376aff0e43dd5788709df48a843,5,5,4513.0,4.7,False,normal
1835b56ce799e6a4dc4eddc053f04066,243,243,17544.49,3.422950819672131,False,normal
1838dd9b8977065acf51d95e0053ea7a,25,25,1094.5,4.64,False,normal
184725737946a1a938bbbd1a9e978103,3,3,359.70000000000005,4.666666666666667,False,normal
184a67a8f9f63234d3a92340bbdb727f,4,4,141.75,2.8333333333333335,True,recoverable
186cdd1b2df32caa72cfb410bba768d3,6,6,1341.4499999999998,5.0,False,normal
189ca3538ce9f920cacf0f982cbe223b,4,4,419.0,3.8,False,normal
18a349e75d307f4b4cc646a691ed4216,29,29,2483.43,3.2564102564102564,False,normal
18e694e0e48ed6f7aa3f24aade5fd697,31,31,701.54,4.676470588235294,False,normal
1900267e848ceeba8fa32d80c1a5f5a8,105,105,6787.9800000000005,4.111888111888112,False,normal
191d55f7edb8524d525ed01b20fe32e8,3,3,747.0,2.3333333333333335,False,normal
1927cdb9fa74f5270097f6250e8e8f34,1,1,120.0,5.0,True,almost_churn
19484c79cef6c062cb177aa4ef2fcc3c,1,1,201.9,1.0,False,normal
1961c3e1272bfeceb05d0b78b5bbfdaf,3,3,896.0,3.75,False,normal
1967a9e2ad6f51802b093147d861df58,2,2,380.0,1.0,False,normal
1976a05ecf2996d6ffb7b5430e635fe7,6,6,1117.8,3.5,False,normal
1987cd4be10fe09ee50454f9c354d1c6,14,14,2877.7,4.25,False,normal
198c7ea11960a9844b544d9bcdca860c,19,19,1385.8100000000002,3.5789473684210527,False,normal
1992f8fb6b19fcccd97ca819811e7267,1,1,28.8,1.0,True,almost_churn
1996942dc085d7773ba77a529b163cd0,10,10,2943.51,3.9,False,normal
19a7c9f66ffa6452ff4b4c0cca71da27,1,1,279.0,5.0,False,normal
19d62d484cba71963c93f0f00ab42013,1,1,139.9,4.0,True,almost_churn
19e0f40a907ec568c34bfac15de4f4a1,3,3,133.5,5.0,True,low_active
1a3df491d1c4f1589fc2b934ada68bf2,93,93,12537.800000000001,4.041237113402062,False,normal
1a6245add4353f18ed55138808906979,1,1,60.0,3.0,True,almost_churn
1a8e2d9c38b84a9702ac7922924b0573,1,1,80.0,5.0,True,almost_churn
1a932caad4f9d804097d7f8e615baed1,20,20,4661.0,3.566666666666667,False,normal
1acde099eb406aa220b1169b188b42da,9,9,311.09999999999997,4.3,False,normal
